filted_data_dict 3893 3893
day, prev_pody, prev_HL, prev_body_pct, cur_position_above, cur_position_below, today_profit
2008-07-28 , -0.4159999999999968 , 1.1270000000000095 , -36 , 43 , 43 , -356.00000000002296
2008-07-29 , -0.35600000000002296 , 0.9860000000000184 , -36 , 43 , 59 , 396.99999999999136
2008-07-30 , 0.39699999999999136 , 1.0180000000000007 , 38 , 23 , 82 , -177.99999999999727
2008-07-31 , -0.17799999999999727 , 1.0789999999999793 , -16 , 3 , 180 , -1372.9999999999905
2008-08-01 , -1.3729999999999905 , 1.98599999999999 , -69 , 4 , -4 , 85.99999999998431
2008-08-04 , -0.12999999999999545 , 0.7129999999999939 , -18 , -10 , 250 , -667.0000000000016
2008-08-05 , -0.6670000000000016 , 1.7120000000000175 , -38 , 122 , 18 , 2061.0000000000073
2008-08-06 , 2.061000000000007 , 2.408999999999992 , 85 , -3 , 57 , -1092.000000000013
2008-08-07 , -1.092000000000013 , 1.3010000000000161 , -83 , -1 , 142 , -1093.999999999994
2008-08-08 , -1.093999999999994 , 1.8300000000000125 , -59 , 0 , 0 , 0.0
2008-08-10 , -0.7369999999999948 , 0.7369999999999948 , -100 , 82 , 154 , -622.9999999999905
2008-08-11 , -0.6229999999999905 , 1.745999999999981 , -35 , 13 , 178 , -3048.000000000002
2008-08-12 , -3.048000000000002 , 3.3579999999999757 , -90 , 1 , 138 , -2397.9999999999964
2008-08-13 , -2.397999999999996 , 4.679999999999978 , -51 , 19 , 28 , 352.00000000000387
2008-08-14 , 0.35200000000000387 , 2.2479999999999905 , 15 , 54 , 33 , 977.0000000000039
2008-08-15 , 0.9770000000000039 , 1.9749999999999943 , 49 , 0 , 0 , 3.9999999999906777
2008-08-17 , -0.12399999999999523 , 0.12399999999999523 , -100 , 89 , 772 , -676.0000000000161
2008-08-18 , -0.6760000000000161 , 1.0689999999999884 , -63 , -4 , 127 , -554.9999999999784
2008-08-19 , -0.5549999999999784 , 1.3200000000000216 , -42 , 19 , 49 , -278.99999999999636
2008-08-20 , -0.27899999999999636 , 0.9039999999999964 , -30 , 5 , 294 , -899.0000000000009
2008-08-21 , -0.8990000000000009 , 2.704999999999984 , -33 , 32 , 28 , 305.0000000000068
2008-08-22 , 0.3050000000000068 , 1.6599999999999966 , 18 , 0 , 0 , 0.0
2008-08-25 , -1.1710000000000207 , 1.3619999999999948 , -85 , 17 , 120 , -893.0000000000007
2008-08-26 , -0.8930000000000007 , 1.8810000000000002 , -47 , 26 , 58 , -676.9999999999925
2008-08-27 , -0.6769999999999925 , 1.6049999999999898 , -42 , 9 , 69 , -685.0000000000023
2008-08-28 , -0.6850000000000023 , 1.2650000000000148 , -54 , -3 , 207 , -2147.9999999999964
2008-08-29 , -2.147999999999996 , 2.576999999999998 , -83 , 0 , 0 , 0.0
2008-09-01 , -1.9870000000000232 , 2.6299999999999955 , -75 , -1 , 78 , -1064.0000000000214
2008-09-02 , -1.0640000000000214 , 2.0139999999999816 , -52 , 15 , 86 , -1335.000000000008
2008-09-03 , -1.335000000000008 , 2.0649999999999977 , -64 , 52 , 152 , -3050.9999999999877
2008-09-04 , -3.0509999999999877 , 4.22999999999999 , -72 , 22 , 70 , 950.000000000017
2008-09-05 , 0.950000000000017 , 3.944000000000017 , 24 , 0 , 0 , 10.99999999999568
